Measurement Name :;Meas-826;;Generated On :;18/10/2021, 15:01:10;;;Calibration details for Oxygen;;;Report :;"@m02:IDENTIFICATION
Serial number     : SEBX0008000826      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 047
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

";;Other Report :;"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
";;;;;;;;;;;;;;;;;
Start Date/Time:;29/09/2021, 15:44:06;;;;;;Batch No.:  ;PSt5-1937-02;;;;;;;;;;;;;;;;;;;;;;;
End Date/Time:;18/10/2021, 15:00:16;;;;;;O2_cal0 [°];54.55;;;;;;;;;;;;;;;;;;;;;;;
User Comment :;0;;Meas. Created By :;admin;;;O2_cal2nd [°];46.9;;;;;;;;;;;;;;;;;;;;;;;
SDR Serial No. :;S-826;;;;;;O2_T0 [°C];23;;;;;;;;;;;;;;;;;;;;;;;
Parameter :;Oxygen [[%] Air Saturation];;;;;;O2_T2nd [°C];23;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;O2_patm [mbar];985;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;O2_2nd [% a.s.];100;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date/Time;Time/Min.;A1;A2;A3;A4;A5;A6;B1;B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;D1;D2;D3;D4;D5;D6;;Tm [°C];p [mbar];Salinity [g/1000g];T_internal [°C];Error
29.09.21 15:44:08;0.03;100.86;98.57;102.23;100.25;111.09;111.88;111.4;109.05;93.46;93.31;94.2;94.06;111.4;117.45;119.7;116.16;99.64;100.25;101.16;101.32;101.93;98.73;98.12;96.76;;19.7;1020;0;19.84;
29.09.21 16:14:15;30.15;96.31;94.65;98.57;96.61;107.33;107.49;106.71;105.16;89.89;90.34;91.08;90.34;106.71;112.98;115.69;112.51;96.16;96.46;96.61;97.36;98.42;94.95;94.35;92.86;;19.7;1020;0;19.73;
29.09.21 16:44:20;60.23;95.1;93.31;97.06;95.1;106.4;106.87;105.78;103.93;88.71;89.15;90.19;89.89;106.09;112.51;114.41;111.56;95.25;95.86;96.16;96.76;97.97;94.35;93.76;92.56;;19.7;1020;0;19.69;
29.09.21 17:14:26;90.33;94.95;92.86;96.91;94.8;106.4;106.87;105.78;103.62;88.56;89.01;90.19;89.89;106.09;112.35;114.41;111.25;95.25;96.16;96.01;96.76;97.67;94.65;93.76;92.86;;19.7;1020;0;19.62;
